îNåéì˙,ìåãû,ë—çL
2016/2/28,8.7,-7.4
2016/2/29,8.3,-6.6
2016/3/1,5.2,-3.9
2016/3/2,6.3,-4.5
2016/3/3,9.2,-8.5
2016/3/4,10.4,-6.4
2016/3/5,10.7,-6.3
2016/3/6,13.2,-4.8
2016/3/7,14.1,3.5
2016/3/8,15.8,2.1
2016/3/9,8.7,-0.8
2016/3/10,6.1,-4
2016/3/11,4.6,-4.3
2016/3/12,5.8,-3.4
2016/3/13,6.7,-3.4
2016/3/14,5.7,-0.5
2016/3/15,8.1,-0.4
2016/3/16,8.7,3.1
2016/3/17,13.1,6.2
2016/3/18,14.8,3.8
2016/3/19,14.9,2.5
2016/3/20,13.4,1.3
2016/3/21,9.5,0.3
2016/3/22,11,0.9
2016/3/23,11.5,1.6
2016/3/24,6.3,0.4
2016/3/25,8.1,-0.5
2016/3/26,8,1
2016/3/27,10.4,2.5
2016/3/28,11.3,4.6
2016/3/29,13,3
2016/3/30,14.9,4.4
2016/3/31,14.9,5.7
2016/4/1,12.8,4.1
2016/4/2,10.5,2.5
2016/4/3,13.1,4.7
2016/4/4,15.6,6.4
2016/4/5,10.8,6.7
2016/4/6,14.6,8.1
2016/4/7,13.8,6.2
2016/4/8,16.1,7.5
2016/4/9,17.1,6.4
2016/4/10,17.2,5.6
2016/4/11,11.6,3
2016/4/12,10.5,6.2
2016/4/13,14.4,8
2016/4/14,15,10.8
2016/4/15,16.3,6.2
2016/4/16,15.8,8.7
2016/4/17,19.2,4.9
2016/4/18,18.9,8.2
2016/4/19,16.2,2.4
2016/4/20,14.9,7.7
2016/4/21,16.5,13.4
2016/4/22,17.3,10.8
2016/4/23,17.9,3
2016/4/24,15.7,9.1
2016/4/25,18.1,9.9
2016/4/26,19.2,7.9
2016/4/27,18.1,6.6
2016/4/28,14.4,5.9
2016/4/29,15.8,2.4
2016/4/30,16,4.6
2016/5/1,18.2,7.6
2016/5/2,17.4,7.9
2016/5/3,20.4,12.5
2016/5/4,22.1,13.4
2016/5/5,22.1,14.4
2016/5/6,18.1,13.3
2016/5/7,21.2,9.8
2016/5/8,21.3,14.1
2016/5/9,18.5,15.3
2016/5/10,18.4,12.4
2016/5/11,21.4,7.3
2016/5/12,21.7,11.8
2016/5/13,21.2,14.7
2016/5/14,19.8,15.4
2016/5/15,17.6,11.4
2016/5/16,19,7.9
2016/5/17,18.3,13.7
2016/5/18,20,15.7
2016/5/19,19.3,14
2016/5/20,17.2,17.6
2016/5/21,19.1,18.9
2016/5/22,22.4,21.3
2016/5/23,23.5,18.4
2016/5/24,23.4,14.3
2016/5/25,22.2,12
2016/5/26,23,19.5
2016/5/27,19.4,19.3
2016/5/28,19.3,17.9
2016/5/29,21.7,15.2
2016/5/30,17.4,10.9
2016/5/31,20.4,10.4
2016/6/1,21.5,10.9
2016/6/2,20.7,10.4
2016/6/3,19.4,12.6
2016/6/4,21.7,7.5
2016/6/5,19.3,11.4
2016/6/6,20,15.3
2016/6/7,19.6,17.2
2016/6/8,21.9,16
2016/6/9,21.2,16.3
2016/6/10,23.5,19
2016/6/11,23.5,18
2016/6/12,23.9,10.8
2016/6/13,19.8,11.2
2016/6/14,22.2,13.1
2016/6/15,20.8,12.5
2016/6/16,22.1,12.4
2016/6/17,24.2,13
2016/6/18,26.7,14.6
2016/6/19,24.3,14.4
2016/6/20,24.3,14.9
2016/6/21,22.7,16.3
2016/6/22,22.7,16.4
2016/6/23,23,12.9
2016/6/24,22.7,13.2
2016/6/25,25.4,12
2016/6/26,25.5,12.8
2016/6/27,24.4,16.4
2016/6/28,19.1,18
2016/6/29,21.5,20.2
2016/6/30,23,18.4
2016/7/1,25.6,21.4
2016/7/2,27,18
2016/7/3,29.2,22.5
2016/7/4,27.8,16.4
2016/7/5,21.7,14.1
2016/7/6,23.1,12.9
2016/7/7,27.4,16.2
2016/7/8,25.3,18.1
2016/7/9,22.4,18.7
2016/7/10,25.6,19.7
2016/7/11,28,19.3
2016/7/12,27.1,20.5
2016/7/13,25.1,18.6
2016/7/14,25.9,16.2
2016/7/15,22.2,19.3
2016/7/16,24.1,19.8
2016/7/17,25.9,17.6
2016/7/18,28.7,17.8
2016/7/19,27.3,17.2
2016/7/20,26.3,19.3
2016/7/21,21.8,19.1
2016/7/22,21.4,16.3
2016/7/23,22.4,16.6
2016/7/24,23.9,16.7
2016/7/25,24.7,17.4
2016/7/26,23.8,17.8
2016/7/27,24.5,18.3
2016/7/28,26.5,20.4
2016/7/29,27.2,20.3
2016/7/30,27.2,21.3
2016/7/31,27.5,21.9
2016/8/1,27.4,22.4
2016/8/2,25.9,25.4
2016/8/3,26.8,23.4
2016/8/4,28.1,25.6
2016/8/5,28.7,24.9
2016/8/6,29.1,22.5
2016/8/7,28.6,22.5
2016/8/8,28.5,24.2
2016/8/9,31.9,21.8
2016/8/10,29.1,21.7
2016/8/11,27.3,21.3
2016/8/12,26.7,22.1
2016/8/13,26.5,21.1
2016/8/14,26,21.6
2016/8/15,26.6,23.8
2016/8/16,26.9,22.1
2016/8/17,28.7,22.4
2016/8/18,26.9,22.8
2016/8/19,27.6,21.8
2016/8/20,25.7,22.6
2016/8/21,27.9,22.4
2016/8/22,25.7,23
2016/8/23,26.8,24.4
2016/8/24,26.5,22.9
2016/8/25,28,22
2016/8/26,28.3,21
2016/8/27,24.3,19.3
2016/8/28,22.6,17
2016/8/29,25.6,20.7
2016/8/30,25.1,22.2
2016/8/31,26.8,23.3
2016/9/1,27,23.3
2016/9/2,26.7,22.6
2016/9/3,27.2,21
2016/9/4,26.7,20.3
2016/9/5,28.4,20.1
2016/9/6,28.8,20.6
